プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,司書クララ,狩人,羊皮紙をご存知ですか？
プロローグ,司書クララ,狩人,1）羊の皮を水に一昼夜浸してから、流水でひたすら洗います
プロローグ,司書クララ,狩人,2）汚れがでなくなるまで綺麗に水洗いした羊皮を、水に消石灰を混ぜた液体に漬けこんで一週間以上放置した後、皮から毛を取り除きます
プロローグ,司書クララ,狩人,3）毛を取り除いたら、再び水に消石灰を混ぜた液体に漬けこんで一週間以上放置し、汚れがでなくなるまで水で綺麗に皮を洗い続けます
プロローグ,司書クララ,狩人,4）綺麗になった皮を、水に漬けこんで二日放置しておきます
プロローグ,司書クララ,狩人,5）皮を水揚げして、端に紐をつけてピンと伸びるように枠に括りつけて乾かします。
プロローグ,司書クララ,狩人,6）ある程度乾いたら、刃物で表面を丁寧に削って二日間日陰で放置します
プロローグ,司書クララ,狩人,7）乾いた皮を水で湿らせて、肉側を軽石の粉で磨いて、二日間日陰で放置します
プロローグ,司書クララ,狩人,8）7を複数回繰り返し、紙として不要な肉や脂肪を丁寧に除去します
プロローグ,司書クララ,狩人,9）皮を枠に括りつけている紐をきつく締めて、張力が均等にかかるよう調整して固定します。均一の厚みにすることが、巧みの技の見せ所です
プロローグ,司書クララ,狩人,10）乾燥させて出来上がり！お好みのサイズに切り取ってご利用ください
プロローグ,司書クララ,狩人,つまり何を言いたいかというと、私は人狼の皮で作った狼皮紙で本を作りたいのです内容は夢溢れるファンタジーな子供向けの童話が理想ですね皆様どうぞご協力くださいね
プロローグ,司書クララ,狩人,なお、所詮は皮なので、羊皮紙は水を掛けたら縮みます水分厳禁です
プロローグ,司書クララ,狩人,今日中に始まる予感がしません何日後に開始になるのかなあ
プロローグ,神父ジムゾン,人狼,■1. コアタイム■2. 仮決定時刻／本決定時刻■3. やりたい事／やりたくない事□4. なにか言いたいことがあればテンプレ貼っとくわ〜。あと深夜やし立会不要で〜。
プロローグ,神父ジムゾン,人狼,>>16セルフ■コア0時前に寝る早寝早起き〜。スマートな鳩でチョコちょろ見れるよ。■③楽しく/凸死は堪忍してや
プロローグ,神父ジムゾン,人狼,/*>>17みたいなこと言ってるけど、多忙めで参加できるか微妙です。
プロローグ,神父ジムゾン,人狼,/*来れなくなったらお察しというやつでひとつ。
プロローグ,神父ジムゾン,人狼,コアタイムについてもっと言うと、立ち会えないくらいには早寝生活かも。なんにしろクララさんよろしく。ほなおやすみ（似非関西弁なのは許して）
プロローグ,神父ジムゾン,人狼,どーしても来れなくなったら云うので。その時はバファ吊りでよろしくお願いしますわ。
プロローグ,神父ジムゾン,人狼,|‾‾‾‾‾‾‾||ようこそ 小さな村　　　　　　　   ||＿＿＿＿＿＿＿|　∧＿_∧||    (  ´ω`)||   / 　　づΦズレてる？そこは愛嬌や
プロローグ,司書クララ,狩人,アンケートを見つけたので書き込みさらさら～■1. 21～25:00メインです。鳩のピーピング・トム号でチラ見たりします■2. 22:30／23:30くらいだと余裕持って動けるんじゃないですかね■3. 10分間沈黙タイムですかね／突然死とかギスギスですかね
プロローグ,負傷兵シモン,村人,更新時間が遅いのは嫌なんだよなーって思いつつ・・・
プロローグ,負傷兵シモン,村人,まあ教会には世話になった事も有るし（未だにあちこちで世話になる事も有るか・・・チし飼ラ見したが□1.20:00～22:00　あとは鳩から適当だな □2.仮23:00／本23:30　あたりかな□3.特に無い。陣営に最大の有利を願うのみ。□4.たまにメンドクサイとは言われるが、まあ個性ととってくれても構わない。
プロローグ,負傷兵シモン,村人,そうだ、RSSの使い方が分かる人が居たら今のうちに教えてピョン
プロローグ,負傷兵シモン,村人,ピョン？
プロローグ,負傷兵シモン,村人,上見てきたら残され島感が半端ねーな
プロローグ,司書クララ,狩人,あらあらこんばんわですRSSはリーダーが必要ですよ私見ですがブラウザで見てるなら、開いたまま放置していれば※印で更新が分かりますので、あんまりいらないかなと
プロローグ,負傷兵シモン,村人,村の発生に伴って存続を目指すためだけであれば書、神は有るかもしれないが書>>23　は意味が無い意味が無い事を意図して書が書いている場合もある。困ったーから　質問だぜー書＞結局美味しいのは角煮？
プロローグ,負傷兵シモン,村人,書とは早速の擦れ違いかどちらかというと、PCより鳩でのRSSで見たかった。コメ出来るかは条件厳しいけどソフトが必要とのことで探しにいくですよ
プロローグ,司書クララ,狩人,兵>>30そこは誤読ですよ。ぶり大根こそ正義です。ただし、ぶりは不要というのが私の結論ですね
プロローグ,司書クララ,狩人,ちなみにですが、鳩でも更新があると、最新発言の下にreloadってリンクがでるので、更新確認できると思いますただし、やっぱり鳩ブラウザは開きっぱなしじゃないとだめです
プロローグ,負傷兵シモン,村人,＞書　ありがとなー　返って来るとは本気なんだなブリ大根については共感する。大根がブリのうま味を全部吸ってしまってからの、ブリの味気なさは寂しいが、飯にはちょうどいいと思う。そして大根が文句のつけようもなくウマイ
プロローグ,負傷兵シモン,村人,書>>33　ありー＆蛇足windows系は裏で重たい更新してる場合があるから、補完ブラウザがいいかもね
プロローグ,司書クララ,狩人,兵＞ですよね。だしを搾り取られたブリも大事にするその姿勢は白要素だと思います大根はジャスティス。たまに下手な仕込みしてるぶりは臭みがありますが、いいお店にあたった時の感動たるや、お酒が進みますね
プロローグ,負傷兵シモン,村人,んじゃ　俺は寝るっす。開延・開始したときはそれはそれで　ｵﾔーﾉｼ
プロローグ,負傷兵シモン,村人,っと詐欺ります
プロローグ,司書クララ,狩人,おやすみなさいませ。私も寝ます。きっと今日も始まらないでしょうし
