プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,シスターフリーデル,村人,素敵な神父様に出会える村は、こちらですか？
プロローグ,少女リーザ,占い師,素敵な王子様に出会える村は、こちらですか？
プロローグ,シスターフリーデル,村人,リーちゃんこんばんは。ええ、きっとそうですわ。何と言ってもここは、出会いの村なのですから！
プロローグ,少年ペーター,狩人,可愛い女の子に出会える村は、こちらですか？
プロローグ,少女リーザ,占い師,リデルちゃん。こんばんわ！よかった！迷子になっちゃったのかと思ったの。王子さまがいれば、狼なんて怖くないの。運命の王子様がリザを守ってくれるはずなの。リデルちゃんも素敵な神父さんにきっと会えると思うよ？
プロローグ,少女リーザ,占い師,ペーターくん。こんばんわ！じー。（もしかして、王子様・・・？でもちょっと違うかな。リズの王子様は、もっと背の高い大人の人だと思うの・・・。）可愛い女の子なら、きっといっぱい、来ると思うの？
プロローグ,少年ペーター,狩人,ぁ。リザちゃん…じー。(うん…確かに可愛いけど…)(この後にキレイなお姉さんが来るかもしれないからな…)リザちゃん。素敵王子様くるといいね！ぼくも応援してるよ！　
プロローグ,シスターフリーデル,村人,>>6　そうですわね、リーちゃんもここできっと理想の王子様に出会えますよ。知的でも俺様でも格好いい神父様ならオールオッケーです、可愛くてもそれはそれでありかと。はぁ……神父様ー……（ため息
プロローグ,シスターフリーデル,村人,｡oO(>>7>>8最近の子供たち怖い)
プロローグ,少年ペーター,狩人,ぁ！しすたー！[むぎゅゅーーーゅゅぅゅゅぅ]ぁーしあわせ。
プロローグ,シスターフリーデル,村人,>>11　あらあら、ペーちゃんってば甘えん坊ですわね。[なでなで、ぎゅう]子供は無邪気で可愛いですわ、ふふっ。
プロローグ,少年ペーター,狩人,しすたぁ。もーぼくしすたが狼さんでも悪いむらびとから守るからー[むんぎゅうーむぎゅむぎゅ]
プロローグ,シスターフリーデル,村人,あらあら、嬉しいお言葉ですわね。けれども、ペーちゃんにはもっと若くて可愛らしい子の方が似合うのではないでしょうか？[でもなでる]
プロローグ,少女リーザ,占い師,リデルちゃんがペーター君をだっこしてるのなんか、聖母マリア様みたいで素敵なの・・・なんか眠くなってきちゃったの・・・zzz（・・・きっと素敵な王子様がキスして起こしてくれると思うの・・・）
プロローグ,少年ペーター,狩人,むにゃむにゃ…今夜は…このやわこい幸せに抱かれてねむろーおやすみなさひ…zzz(…明日もキレーなお姉さんきますよーに…)
プロローグ,シスターフリーデル,村人,リーちゃんもペーちゃんも、おやすみなさいませ。私は、いつか来る神父様の為になんだか大事そうな書類でも用意しておきますね(なでり■1.コアタイム■2.仮／本希望時間■3.やりたい事／やりたくない事□4.その他（任意）
プロローグ,シスターフリーデル,村人,■1.メインは夜、21:00前後以降ですわね■2.0:15／0:45、但し0:00以降であればある程度融通は聞きますわ■3.みんな仲良く／ゲルトは出オチで良いのです□4.素敵な神父様を求めて村にやって来たシスターですの。どこかに素敵な神父様、いらっしゃらないかしら。
プロローグ,シスターフリーデル,村人,後は、そうですわね。聖書でも置いておきますか。ご老人も若人も、困り事あらばこちらをぺらりですのよ。聖書（人狼BBSまとめサイト）：http://wolfbbs.jp/
プロローグ,シスターフリーデル,村人,それでは、幾らなんでもここから6人以上ずさーはないでしょうから、私も失礼致します。素敵な神父様の夢を見られますように……。
プロローグ,木こりトーマス,人狼,[…は頭部と胸部の局部にワンポイントの花を付け、森からクネクネと駆けてきた。]はァい♥恋のきゅーぴっど・トマ♥りん惨状♪[…は左手に弦が張られ反り返った丸太を持っている。][…は右手の長柄の斧を持っている。]んふふ…♥あたしがァ、着たからにはァ、いーっぱいつがいができちゃうんだからァ♥
プロローグ,木こりトーマス,人狼,[…は胸部背面より2対の半透明な膜状のものを広げた。葉脈の様に筋の通ったそれらを震わせ、両足を地から浮かせた。]んふーふー…この村にはつがい成立を邪魔する人狼ってのがいるらしいわねェ…す・て・きな殿方の邪魔をするやつは…メッってしかってあげないとダメね♥ちょっとあたしパトロールしてくるわぁ、また夜に…んふ♥[…はヴヴと背の翅を震わせ。村の中心部へと飛び立った。]**
プロローグ,少年ペーター,狩人,ぅ、ぅゎ…リ、リザの王子様って…変わってるなぁ…リザ！早く起きて！あそこに王子様きてるよ！
プロローグ,少年ペーター,狩人,し、しすたー！！！ぎゅーびっどさんって人がさっきそこを歩いてたよ！なんかもじゃもじゃぐねぐねしてたよ！あれが人狼か…　こわいね…(でもずっと見てたい気もするし…)
プロローグ,村長ヴァルター,村人,我こそは第六天魔王織田信n…げふん、ヴォルターである！恋だの出会いだのと不抜けたことを抜かしおって。光秀！この軟弱な村を焼き払え！こんな村は根絶やs…！？貴様…いや、貴女はなんて可憐なんだ！どうか名を…。リーザ…と、いうのか。あぁ、荒野に揺れる一輪の花よ。その白い手のひらは聖夜に降りる雪のように清らかで花を飛び交う蝶のようにいたずらだ。我の…いや、私の后となってはくれぬだろうか！
プロローグ,村長ヴァルター,村人,修道士が何やら村に関する書類を持っておるな。我も答えてやるか。光秀！１部奪って参れ！■１、リーザお嬢様がいらっしゃる時ならいつだって！…まぁ我としては22時頃が一番安定する。■２、00：00/00：30が良い。■３、リーザお嬢様と結納！/病気には気をつけろよ光秀！■４、光秀！RPの関係で言葉が荒く見えるかも知れんが仲良くしたいと思っていると伝えてこい！
プロローグ,シスターフリーデル,村人,……王子様というかあれ、オジサマですね。あまりがっつきすぎると神父様も王子様も逃げてしまうのかしら。>>24　人狼とは少し異なる気も致しますが、ご利益はありそうですね。誰と誰をくっ付けるつもりなのか、見てみたいですの。
