プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,神父ジムゾン,狂人,人狼ですか？ニンニクが効くんでしたっけ？それとも十字架？ああ取りあえずアーメン！
プロローグ,村娘パメラ,人狼,もしかして、夜な夜な血を求めてさ迷う生き物ですか？日光が苦手で鏡に姿が映らないという…。ゲルトさん、私怖いっ…！
プロローグ,木こりトーマス,人狼,人狼ってなんだ？昼間は大丈夫なのか？ジム、パメラ。よろしく。ﾉｼ
プロローグ,羊飼いカタリナ,村人,狼さんがでると聞いてほねっこで仲間にするのですよ申し遅れました、もんすたーていまー（仮免許）カタリナなのです
プロローグ,行商人アルビン,狩人,みなさんはじめまして。私、旅の行商を生業にしておりますアルビンと申します。以後お見知りおきを。
プロローグ,行商人アルビン,狩人,・・どうやらこの村には人狼が出るようですね。そんな時はこれ！「銀の首飾り」人狼は銀を嫌がるそうです。これさえ身につければもう安心！人狼からあなたの命を守ってくれるはずです！非常に高価なもので本当は銀貨5枚の価値が有るものなんですが、今回は特別に２枚でお譲りしましょう！今がお買い時です！
プロローグ,行商人アルビン,狩人,初めて来た村では次回のお取引の参考のために、村の皆さんに次の質問をさせていただいています。もしよろしければお答えください。■1.コアタイム■2.仮本決定時間希望■3.やりたいこと、やりたくないこと□4.自己紹介など
プロローグ,行商人アルビン,狩人,ああ、そうだ忘れていました。隣村からの伝言を頼まれていたんでした。ここに張っておきますね。（良く使われる記号・略語の説明）▼：吊り第一希望　▽：吊り第二希望●：占い第一希望　○：占い第二希望■：議題　□ネタ議題★：質問　☆：質問への回答【　】：強調したい事柄@数字：残り発言数　CO：カミングアウト。能力者だと公開する事。FO：フルオープン。初日に能力者が全員名乗り出ること
プロローグ,行商人アルビン,狩人,GJ：グッジョブ。狩が護衛成功すること。LW：ラストウルフ。最後に残った狼のこと。白：村側の人（狂人を含めて人間という意味で使う事もある）黒：人狼灰：人間か人狼か分からない人物箱：パソコン鳩：携帯電話などの主に外出先からの参加手段（伝書鳩が語源）議事録：ログ喉：発言数（使用例：「喉が痛いので一旦黙る」は、発言数が残り少ないので一旦発言を控えるという意味）
プロローグ,少年ペーター,村人,来てやったぜぇ…この前ぺタちゃん問屋で６０本入のうまい棒を１２袋大人買いしてやったぜぇ…上からパンチして中身全部ボソボソにしてやったぜぇ…袋開けたらボロボロこぼれてきたぜぇ？食わねぇぜぇ…萌えるゴミの日に全部出してやったぜぇ…ワルだろぉ？
プロローグ,少年ペーター,村人,■1.22:~1:00くらいだぜぇ…■2.仮23:00 本23:30位がいいかと思うぜぇ■3.特には無いぜぇ□4.ワルいどぺタちゃんだぜぇ…
プロローグ,木こりトーマス,人狼,カタリナ、アルビン、ペタちゃんよろしく。ﾉｼ■1.22:00~1:00■2.23:00/23:30■3.長生きがしたい□4.突然死は無い>>11とんでもない悪ガキがこの村にいたもんだ 
プロローグ,村娘パメラ,人狼,たくさんの方がいらっしゃったようですね。……でも、人狼なる不明瞭な存在もいると思うと…ゲルトさん、怖い…。■1.不定期ですが、夜がメインになると思います。■2.仮23時本23時30分■3.個人的に個人戦とかしてみたいですが、ややこしそうならスルーしてください。□4.パメラです。ゲルトさんが好きです。
プロローグ,神父ジムゾン,狂人,■1.23時-25時くらい■2.仮23時15分、本23時45分あたり■3.ギスギスしたのはちょっと□4.実はプロテスタントなので神父じゃなくて牧師なんですが？ ヅラじゃなくてウィッグなんですが？アーメン
プロローグ,羊飼いカタリナ,村人,ﾋﾟｼｯﾋﾟｼｯ!道端で茨のムチを拾ったのですよ。狼さんと遊ぶのに使えそうなのです？回覧板にも答えておくのです。■1 夜メインお昼にも顔だしてできるかも？■2 おまかせなのです■3 なんでもござれ？奇策は説明欲しいのです。□4 ていまー仮免は伊達じゃなのです
プロローグ,木こりトーマス,人狼,人狼なんているのか？モンスターボールで仲間になる？
プロローグ,村娘パメラ,人狼,リナさん＞ムチ…。これがあれば人狼に対応できるのでしょうか？トーマスさん＞仲間にする…！それはすごい発想の転換ですね。恐ろしい存在も仲間にすれば心強い…。
プロローグ,老人モーリッツ,村人,がおー
プロローグ,老人モーリッツ,村人,カタリナ殿>>5 もんすたーていまーって何。(素
プロローグ,老人モーリッツ,村人,■1不定期だけど、22時頃からはよく覗けるかな。
プロローグ,老人モーリッツ,村人,■4本決定23:45頃希望かな。仮は任せる。
プロローグ,老人モーリッツ,村人,あれ。儂>>22は、■2の回答だよ、もう。
プロローグ,老人モーリッツ,村人,■3楽しくできればなんでも。突然死もじじ泣いちゃうからなしね。
プロローグ,老人モーリッツ,村人,□4老人だけど、知恵とかないよ。老害にならないよう気をつけるよ。
プロローグ,老人モーリッツ,村人,アルビン殿は、議題出しから用語解説、助かるのじゃ。ありがとう。
プロローグ,老人モーリッツ,村人,ペーター殿>>11子どもなのに大人買いとは末恐ろしや。食べ物を粗末にしてはいけんよ。もっと、青空につばを吐くとかのワルをするがよいよ。、
プロローグ,老人モーリッツ,村人,パメラ殿>>14 儂は個人戦はしてもよいぞ。村勝利の可能性が低い気もするが、やってみんとわからんしな。…パメラ殿はゲルト殿に、妙に話しかけるのぅ。ほっほっほっ。
プロローグ,老人モーリッツ,村人,話すことなくなった…。あ、やってみたいこと思いついた。発言しりとりとか。
プロローグ,羊飼いカタリナ,村人,おじーちゃんがいっぱいなのです。老>>20けものちょうきょうしなのです。樵>>17ていまー亜種になんとかトレーナーがいるのです。娘>>18対抗するんじゃないのですよ。遊び道具なのです。
プロローグ,老人モーリッツ,村人,カタリナ殿>>30 ほう、ていまーというのは調教師のことなのか。じじにはそんなハイカラな言葉わからんかったじゃ。説明ありがとうのう。
プロローグ,木こりトーマス,人狼,ずっとモリのターンだったみたいだな羊>>30草むらの獣に投げてる奴がいたんだが、そいつがなんとかトレーナーかな？
プロローグ,シスターフリーデル,村人,失礼しますー。あら、結構賑やかな村なのね。
プロローグ,シスターフリーデル,村人,■1.22:00以降夜明け直後まで■2.仮23:15 本23:45■3.多弁な方向で。ノーモア突然死□4.昼も鳩を飛ばして読むけれど、箱で落ち着いて発言したい派なので、発言は夜が中心になると思うわ。よろしくね。
プロローグ,青年ヨアヒム,村人,こんばんは週末ヒーロー、いま会えるアイドルヨアヒーーーーム、ゼーーット！よろしくおねがいしまーーす！
プロローグ,木こりトーマス,人狼,お、これで始まるなリデル、ヨアヒムよろしく
プロローグ,青年ヨアヒム,村人,アルビンの質問>>8に答えるよ☆■1.夜。22:30～0:30ぐらい■2.仮23:30、本0:00■3.楽しくできればなんでもいい！突然死もしないようにね！□4.楽しくやろうね！
プロローグ,青年ヨアヒム,村人,>>36トマトマよろしくーー>>11ペッタン大人だね～そしてワルだね～
プロローグ,村長ヴァルター,占い師,せっかく選挙で当選したというのに、人狼騒ぎとは。私が最後の村長になってしまうのか・・・
プロローグ,青年ヨアヒム,村人,さて、ボクは週末ヒーローだから平日何してるのかっていうと、、、、山にしばかりに行ってるよ！しばかれにいってるわけじゃないからね！絶対違うからね！
プロローグ,青年ヨアヒム,村人,おおおー村長だ！ひげひげーー♪
プロローグ,村長ヴァルター,占い師,うむ、ヨアヒムは髭に憧れるお年頃かね？ちょっと最初は戸惑うかもしれんが、伸ばしてみると威厳が出て渋い青年になるかもしれないぞ。あとまた山に行ってはそんなアザをつくってきて・・・。引きこもりでないのは良いんだが、一体なにをしに行ってるんだね・・・
プロローグ,青年ヨアヒム,村人,>>42だからしばかりだって！しばかりにはいろんな道具がいるから、大きなカバンにいれていつも持ってってるんだから！
プロローグ,羊飼いカタリナ,村人,あと10人くらいずさーくるです？リデルちんヴァルたんヨアヒムよろしくなのです。
プロローグ,木こりトーマス,人狼,ふむ。ヨアヒムは平日に山にしばかれに行くと( ..)φﾒﾓﾒﾓかばんには鉄板でも入れてるのか？ヴァルターよろしく
プロローグ,村長ヴァルター,占い師,>>43なんだ、芝刈りか。刈った芝を担ぐのにそんな大きな鞄を持っていくとは大変だろう。減らせるものがないか見てあげるから、ちょっとその鞄をかしなさい
プロローグ,村長ヴァルター,占い師,うーむペーターも将来が心配だし、青少年健全育成なんとやらをもっと手厚くすべきなのか・・。いやしかしお年寄りが安心して暮らせる明るい未来というのも創らねばならんしなあ・・・私はこんなところでラスト村長になっているわけにはいかない。そう思ってテイマーやらトレーナーやらを招いたのだ。というわけでカタリナ、よろしく。人狼をおさえるとっておきがあると聞いて、期待しているよ
プロローグ,青年ヨアヒム,村人,>>46がぁぁぁぁ、だめぇぇぇぇそのかばんはもってかないでーーー！
プロローグ,青年ヨアヒム,村人,あ、カタリナいるじゃん☆カタリナって羊にムチうったりしてんの？
プロローグ,シスターフリーデル,村人,今夜からはじまりそうね。あらためて、皆さんよろしく〜。では、夜明けに箱の前にいられるよう、ちょっと川へ洗濯に行ってくるわ。
プロローグ,村長ヴァルター,占い師,>>48減らせる荷物が無いか確認したら、すぐに返すから。(ﾊﾟｶｯ)　・・・こ、これは—————！！！？　　　　　　　～続きはwebで！～　←ここをクリック
プロローグ,司書クララ,人狼,どんぶらこどんぶらこ
プロローグ,羊飼いカタリナ,村人,青>>49 愛のムチなのですよ。言う事を聞くまではビシバシ振るっていたのですよ。
プロローグ,青年ヨアヒム,村人,クラリンかわいい☆
プロローグ,村長ヴァルター,占い師,■1.夜不定期。昼間は仕事が忙しく宿に顔を出せないのだ■2.仮23：15　本23：45■3.個人戦はやり方もよく分からないし、まとめができる盤面になったらまとめてもらいたいと思っているよ。パメラにはすまないがね。発言しりとりぐらいなら、なんとか頑張ってみようかとは思っている。なんにせよ、楽しくやれるのが一番だ。
プロローグ,村長ヴァルター,占い師,□4.奇策嫌いの村長だ。この一週間をこの村の最後にしないために、何か案はないか首をひねっているところだ。そうだな・・レジーナの宿に皆を集めて、会議を開いてみてはどうだろう
プロローグ,青年ヨアヒム,村人,>>53愛があればムチふれるんだね！わかった！
プロローグ,木こりトーマス,人狼,長>>51クリック詐欺だったorz書>>52それはおばあさんフラグ？
プロローグ,司書クララ,人狼,>>54(〃▽〃)ﾎﾞｯクララは恥かしさのあまり、ヨアヒムにビームを放った！（ﾋﾞﾋﾞﾋﾞｰｰｰ！！）
プロローグ,村長ヴァルター,占い師,クララもきたか、よろしく。もしや川の上流から流れてきたのでは・・・・　いや、まさかな。そんなことあるわけないだろう大げさだなあ
プロローグ,司書クララ,人狼,トマさん>>53いえ、シスターがおばあさんフラグ立ててたので、つい。。
プロローグ,青年ヨアヒム,村人,>>59クラクラした、クララのビームだけにね！・・・ほら、ほら！みんなそんな冷たい目で僕を見ないで！
プロローグ,旅人ニコラス,村人,お晩です。
プロローグ,村長ヴァルター,占い師,>>58トーマスがつれたか。うむ、こうして村民とのふれあいをだな・・・。o（おや？おかしいな。ちゃんとページを用意した筈なのだが。）
